feature,mean_abs_shap,value_shap_corr
booking_origin_frequency,0.10854428778985305,-0.8543549095389317
length_of_stay,0.0442678090695264,-0.5653534725070751
flight_duration,0.02619335232928604,-0.7862168041631491
wants_extra_baggage,0.023947085980234453,0.9803254297530954
route_frequency,0.017864480045643696,0.32233226424256867
total_extras,0.016726025204869644,0.8888238989725654
sales_channel_Mobile,0.014465917646030248,-0.9793971370997946
purchase_lead,0.012852939151333578,-0.8200975227732482
wants_preferred_seat,0.012491479342048141,0.9496203754636154
wants_in_flight_meals,0.004526907783309521,0.8635630513048255
flight_hour,0.004308850149664232,-0.07090806182867936
lead_time_bucket_last_minute,0.0035360992242217323,0.8769626359347849
flight_day,0.0025958619545389298,-0.4457748615471773
num_passengers,0.002514136532792384,-0.8281062360477215
flight_hour_bucket_night,0.002492507145590518,-0.8501218582983568
trip_type_RoundTrip,0.0013707541593853314,0.9513542519781919
lead_time_bucket_normal,0.0012707040862296058,-0.010821644038943921
is_weekend_flight,0.0010431079559852078,-0.6462744007463581
flight_hour_bucket_morning,0.001042492581771883,-0.4625519944870065
trip_type_OneWay,0.0006201485815560719,-0.9581069965457277
flight_hour_bucket_evening,0.00046109008410393686,-0.26927442290950426
